"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"C48,C47,C46,C45,C44,C43,C42,C41,C40,C39,C38,C37,C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C1,C2,C3,C4";"C_0603";48;"100n";;;
2;"DS12,DS11,DS10,DS9,DS8,DS7,DS6,DS5,DS4,DS3,DS2,DS1";"Pin_Header_Straight_1x16";12;"LCD-016N002L";;;
3;"U72,U71,U70,U69,U68,U67,U66,U65,U64,U63,U62,U3";"SOT-23-6";12;"MCP4013T-503";;;
4;"U61,U60,U59,U58,U57,U56,U55,U54,U53,U52,U51,U2";"SOT-23-6";12;"MCP4013T-503";;;
5;"U50,U49,U48,U47,U46,U45,U44,U43,U42,U41,U40,U39,U38,U37,U36,U35,U34,U33,U32,U31,U30,U29,U5,U4";"SOT-23-5";24;"74AHC1G14";;;
6;"R84,R83,R82,R81,R80,R79,R78,R77,R76,R75,R74,R2";"R_0603";12;"100k";;;
7;"Q24,Q23,Q22,Q21,Q20,Q19,Q18,Q17,Q16,Q15,Q14,Q1";"SOT-23";12;"IRLML6244";;;
8;"R73,R72,R71,R70,R69,R68,R67,R66,R65,R64,R63,R4";"R_0603";12;"220k";;;
9;"R62,R61,R60,R59,R58,R57,R56,R55,R54,R53,R52,R40,R39,R38,R37,R36,R35,R34,R33,R32,R31,R30,R29,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R3,R5,R6,R7";"R_0603";48;"4.7k";;;
10;"R51,R50,R49,R48,R47,R46,R45,R44,R43,R42,R41,R1";"R_0603";12;"47k";;;
11;"U28,U27,U26,U25,U24,U23,U22,U21,U20,U19,U18,U6";"TSSOP-14_4.4x5mm_Pitch0.65mm";12;"74LS21";;;
12;"U17,U16,U15,U14,U13,U12,U11,U10,U9,U8,U7,U1";"TSSOP-24_4.4x7.8mm_Pitch0.65mm";12;"PCA9535";;;
13;"P24,P23,P22,P21,P20,P19,P18,P17,P16,P15,P14,P1";"Pin_Header_Straight_1x05";12;"CONN_01X05";;;
14;"Q13,Q12,Q11,Q10,Q9,Q8,Q7,Q6,Q5,Q4,Q3,Q2";"SOT-23";12;"BT2N2222";;;
15;"P13,P12,P11,P10,P9,P8,P7,P6,P5,P4,P3,P2";"SOT-23-6";12;"CONN_02X03";;;
